,Title,Artist,Year,Rank,Genre,Spotify Song ID
0,Industry Baby,Lil Nas X & Jack Harlow,2021,1,"lgbtq+ hip hop, pop, deep underground hip hop, kentucky hip hop, pop rap, rap",27NovPIUIRrOZoCHxABJwK
1,Stay,The Kid LAROI & Justin Bieber,2021,2,"australian hip hop, canadian pop, pop",5HCyWlXZPP0y6Gqq8TgA20
2,Fancy Like,Walker Hayes,2021,3,"contemporary country, country, country road, modern country rock",3ZozFqJJlDBNIm4xqxn2ZD
3,Bad Habits,Ed Sheeran,2021,4,"pop, uk pop",6PQ88X9TkUIAUIZJHW2upE
4,Way 2 Sexy,Drake Featuring Future & Young Thug,2021,5,"trap, rap, atl hip hop, pop rap",0k1WUmIRnG3xU6fvvDVfRG
5,Good 4 U,Olivia Rodrigo,2021,6,pop,4ZtFanR9U6ndgddUvNcjcG
6,Kiss Me More,Doja Cat Featuring SZA,2021,7,pop,748mdHapucXQri7IAO8yFK
7,Levitating,Dua Lipa,2021,8,"dance pop, pop, uk pop, north carolina hip hop, rap",463CkQjx2Zk1yXoBuierM9
8,Essence,Wizkid Featuring Justin Bieber & Tems,2021,9,nigerian pop,5FG7Tl93LdH117jEKYl3Cm
9,Shivers,Ed Sheeran,2021,10,"pop, uk pop",75MNhvTCCKsST3YqqUiU9r
10,Need To Know,Doja Cat,2021,11,"dance pop, pop",3Vi5XqYrmQgOYBajMWSvCi
11,Heat Waves,Glass Animals,2021,12,"gauze pop, indietronica, shiver pop",3USxtqRwSYz57Ewm6wWRMp
12,Save Your Tears,The Weeknd & Ariana Grande,2021,13,pop,37BZB0z9T8Xu7U3e65qxFy
13,Knife Talk,Drake Featuring 21 Savage & Project Pat,2021,14,"trap, rap, hip hop",2BcMwX1MPV6ZHP4tUT9uq6
14,Beggin',Maneskin,2021,15,"indie rock italiano, italian pop",3Wrjm47oTz2sjIgck11l5e
15,You Right,Doja Cat & The Weeknd,2021,16,pop,0k4d5YPDr1r7FX77VdqWez
16,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",2021,17,"chicago rap, trap, chicago drill, rap, drill, hip hop",4yNoUQkYf1QF8iYlEzNynH
17,My Universe,Coldplay x BTS,2021,18,"permanent wave, pop, k-pop, k-pop boy group",3FeVmId7tL5YN8B7R3imoM
18,If I Didn't Love You,Jason Aldean & Carrie Underwood,2021,19,"country road, contemporary country, country",5f3MXmTmstozFg0BH1yPUk
19,Montero (Call Me By Your Name),Lil Nas X,2021,20,"lgbtq+ hip hop, pop",1SC5rEoYDGUK4NfG82494W
20,Traitor,Olivia Rodrigo,2021,21,pop,5CZ40GBx1sQ9agT82CLQCT
21,Girls Want Girls,Drake Featuring Lil Baby,2021,22,rap,37Nqx7iavZpotJSDXZWbJ3
22,Chasing After You,Ryan Hurd With Maren Morris,2021,23,contemporary country,1ZIKpMTRPqhwAoVXWY3tXI
23,Take My Breath,The Weeknd,2021,24,"canadian contemporary r&b, canadian pop, pop",6OGogr19zPTM4BALXuMQpF
24,Cold Heart (PNAU Remix),Elton John & Dua Lipa,2021,25,"glam rock, mellow gold, piano rock, dance pop, pop, uk pop, alternative dance, aussietronica, australian dance, australian electropop",6zSpb8dQRaw0M1dK8PBwQz
25,Thats What I Want,Lil Nas X,2021,26,"lgbtq+ hip hop, pop",0e8nrvls4Qqv5Rfa2UhqmO
26,Pepas,Farruko,2021,27,"latin, reggaeton, trap latino",5fwSHlTEWpluwOM0Sxnh5k
27,My Boy,Elvie Shane,2021,28,-,0PjXFoTUNltAvf4IN0N3Xx
28,Wockesha,Moneybagg Yo,2021,29,"hip hop, memphis hip hop, rap, southern hip hop, tennessee hip hop, trap",0nqhKXDjsyBMvbeWmgijD0
29,Happier Than Ever,Billie Eilish,2021,30,"electropop, pop",4RVwu0g32PAqgUiJoXsdF8
30,Love Nwantiti (Ah Ah Ah),CKay,2021,31,afro r&b,2Xr1dTzJee307rmrkt8c0g
31,Ghost,Justin Bieber,2021,32,"canadian pop, pop",6I3mqTwhRpn34SLVafSH7G
32,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,2021,33,"contemporary country, country",3dV1fjKOlLnaNK5MeZHXGv
33,A-O-K,Tai Verdes,2021,34,modern indie pop,1sx0XsWUusUoPstbvokZjP
34,Memory I Don't Mess With,Lee Brice,2021,35,"contemporary country, country, country road, modern country rock",7BQE1P0NUalHSvFtrxasx9
35,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,2021,36,"trap, rap, hip hop",3J4VKkUpLvomXJbn9ZAypO
36,I Was On A Boat That Day,Old Dominion,2021,37,"contemporary country, country, country road",1nnsiuuYlvPF9gxXIiyAr8
37,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),2021,38,"dance pop, pop, escape room",7MAibcTli4IisCtbHKrGMh
38,Fair Trade,Drake Featuring Travis Scott,2021,39,rap,40iJIUlhi6renaREYGeIDS
39,Buy Dirt,Jordan Davis Featuring Luke Bryan,2021,40,contemporary country,69AIpwGNLxr4qS1X5ynx60
40,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,2021,41,"r&b, pop",4iJyoBOLtHqaGxP12qzhQI
41,Deja Vu,Olivia Rodrigo,2021,42,pop,6HU7h9RYOaPRFeh0R3UeAr
42,You Should Probably Leave,Chris Stapleton,2021,43,"contemporary country, outlaw country",2UikqkwBv7aIvlixeVXHWt
43,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,2021,44,"modern alternative pop, afrofuturism, dance pop, electropop, pop, post-teen pop, bedroom soul",07MDkzWARZaLEdKxo6yArG
44,Cold As You,Luke Combs,2021,45,"contemporary country, country",7IWV29mryrqtO0JVgnPtfv
45,Gyalis,Capella Grey,2021,46,-,7wpyrkjEgz7W1vNYDxMKrF
46,Love Again,Dua Lipa,2021,47,"dance pop, pop, uk pop",1imMjt1YGNebtrtTAprKV7
47,Leave Before You Love Me,Marshmello X Jonas Brothers,2021,48,pop,4qu63nuBpdn0qHUHuObEj1
48,Family Ties,Baby Keem & Kendrick Lamar,2021,49,"rap, hip hop",7Bpx2vsWfQFBACRz4h3IqH
49,Hurricane,Kanye West,2021,50,"chicago rap, rap",6Hfu9sc7jvv6coyy2LlzBF
50,Lo Siento BB:/,"Tainy, Bad Bunny & Julieta Venegas",2021,51,"latin pop, latin, trap latino, reggaeton",4gzsuuZypVbxs0Af1LSZyB
51,Wild Side,Normani Featuring Cardi B,2021,52,"dance pop, pop",2vXgyN14LX2zl7JEASw242
52,Flocky Flocky,Don Toliver Featuring Travis Scott,2021,53,rap,25r6MZ4Gtd76l43qnZI1DG
53,Have Mercy,Chloe,2021,54,-,5SixeLvPsYpk7qq9lo5xYg
54,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,2021,55,contemporary country,7DhvNzyMM8jJWcfykG3psB
55,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",2021,56,"trap, rap, pop rap, r&b",2CDVqsGGkf2v1tMETt3fq5
56,Late At Night,Roddy Ricch,2021,57,"melodic rap, rap, trap",1fxYz1s15pyZLsJT0Hdh1m
57,2055,Sleepy Hallow,2021,58,"brooklyn drill, nyc rap",4XvcHTUfIlWfyJTRG0aqlo
58,Whole Lotta Money,BIA Featuring Nicki Minaj,2021,59,"escape room, r&b, rap latina, trap queen, dance pop, hip pop, pop, pop rap, queens hip hop",67G6iaOw8DZqp1z8STR89R
59,Memory,Kane Brown X blackbear,2021,60,"contemporary country, country road, pop, pop rap",34chhNX59Wo9HMFCsI3K8Y
60,Esta Danada,Ivan Cornejo,2021,61,"corrido, corridos tumbados, nuevo regional mexicano",6G2xXQRSZlEzYsUEb3uvuR
61,Knowing You,Kenny Chesney,2021,62,"contemporary country, country, country road",2EEfUuBRZA4Ax1vYcluFS0
62,Woman,Doja Cat,2021,63,"dance pop, pop",6Uj1ctrBOjOas8xZXGqKk4
63,Same Boat,Zac Brown Band,2021,64,"contemporary country, country, country road, modern country rock",2VmccNZz4zFmlcXstY8a2D
64,Chosen,Blxst & Tyga Featuring Ty Dolla $ign,2021,65,"trap, pop rap, hip hop, southern hip hop",1dIWPXMX4kRHj6Dt2DStUQ
65,Too Easy,Gunna & Future,2021,66,"trap, rap, atl hip hop",4eL3XeuGaEoVT8ttDh3hwY
66,Volvi,Aventura x Bad Bunny,2021,67,"latin, trap latino",2vmfvSoZBFAt9hhRoEByLi
67,Easy On Me,Adele,2021,68,"british soul, pop, pop soul, uk pop",0gplL1WMoJ6iYaPgMCL0gX
68,Jugaste y Sufri,Eslabon Armado Featuring DannyLux,2021,69,"nuevo regional mexicano, corridos tumbados",3NqBxTOMCJ3zW9CIP51td4
69,Todo de Ti,Rauw Alejandro,2021,70,"puerto rican pop, trap latino",4fSIb4hdOQ151TILNsSEaF
70,Thot Shit,Megan Thee Stallion,2021,71,"houston rap, pop, trap queen",5zNW5ARjYhJQJz1AChP33n
71,Sand In My Boots,Morgan Wallen,2021,72,contemporary country,0uRrG2jRR5tuifsYIJHEao
72,Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,2021,73,"country road, modern country rock, contemporary country, country",1UYfAU2bwgjaM5rIIPQleC
73,No Friends In The Industry,Drake,2021,74,"canadian hip hop, canadian pop, hip hop, rap, toronto rap",2tUL6dZf1mywCj5WvCPZw6
74,WFM,Realestk,2021,75,-,18ddJHQ7CUzNBiy55L0Xjj
75,Yonaguni,Bad Bunny,2021,76,"latin, reggaeton, trap latino",2JPLbjOn0wPCngEot2STUS
76,Champagne Poetry,Drake,2021,77,"canadian hip hop, canadian pop, hip hop, rap, toronto rap",2HSmyk2qMN8WQjuGhaQgCk
77,One Mississippi,Kane Brown,2021,78,"contemporary country, country road",4FdPnT2cFrpWCmWZd7GXc3
78,Get Into It (Yuh),Doja Cat,2021,79,"dance pop, pop",0W6I02J9xcqK8MtSeosEXb
79,You Time,Scotty McCreery,2021,80,"contemporary country, country, country road, modern country rock",0pJalGEYsRikSogLkXU6KV
80,Your Heart,Joyner Lucas & J. Cole,2021,81,"rap, hip hop",2DTpP3caqX3QdJIEoS83mD
81,Whiskey And Rain,Michael Ray,2021,82,"contemporary country, country, country pop, country road, modern country rock",1tf4Bfk8JIKryLpWYRvyiI
82,In The Bible,Drake Featuring Lil Durk & Giveon,2021,83,"rap, hip hop",61S79KIVA4I9FXbnsylEHT
83,Summer Of Love,Shawn Mendes & Tainy,2021,84,"canadian pop, dance pop, pop, viral pop, latin, latin hip hop, latin pop, pop reggaeton, reggaeton, trap latino",0z8hI3OPS8ADPWtoCjjLl6
84,Maybach,42 Dugg Featuring Future,2021,85,"trap, rap, southern hip hop",2Qt8qG9SWPdtRiaWcPNJRm
85,Tequila Little Time,Jon Pardi,2021,86,"contemporary country, country, country road, modern country rock",15npbUjCgwt2lRvyrJvyxw
86,Waves,Luke Bryan,2021,87,"chicago rap, rap",3nAq2hCr1oWsIU54tS98pL
87,Freedom Was A Highway,Jimmie Allen & Brad Paisley,2021,88,contemporary country,3J5jotqUAjU479WhAiNkpU
88,Nevada,YoungBoy Never Broke Again,2021,89,"baton rouge rap, trap",2cEnKRR4dYBB2VA1mjlb1z
89,Like A Lady,Lady A,2021,90,"contemporary country, country, country dawn, country pop, country road",5SulrwmIUDbU5TQQtoYHhL
90,Life Goes On,Oliver Tree,2021,91,alternative hip hop,0eu4C55hL6x29mmeAjytzC
91,Woo Baby,Pop Smoke Featuring Chris Brown,2021,92,"brooklyn drill, dance pop, pop, pop rap, r&b, rap",58T4yPLn4NjBYXfRxeweyM
92,Life Support,YoungBoy Never Broke Again,2021,93,"baton rouge rap, trap",2CMVajzxRuxsFNzYFkzjTb
93,'Til You Can't,Cody Johnson,2021,94,"contemporary country, country road, texas country",4k3lPl8YTKuY8c1HelVnm3
94,Who's In Your Head,Jonas Brothers,2021,95,"boy band, dance pop, pop, post-teen pop",5nhW8I46uDE5sc5ouEbzao
95,Ain't Shit,Doja Cat,2021,96,"dance pop, pop",5lAnYvAIkSDNXqfo7DyFUm
96,Just About Over You,Priscilla Block,2021,97,"contemporary country, country pop",4Ec0q0j8hRTCX4QQ5MiHSX
97,For Tonight,Giveon,2021,98,"pop, r&b",61Emqg95O9zo1GNOcyxq4Y
98,Praise God,Kanye West,2021,99,"chicago rap, rap",0WSEq9Ko4kFPt8yo3ICd6T
99,Bad Morning,YoungBoy Never Broke Again,2021,100,"baton rouge rap, trap",14RtRKcWhxg2qPGLMR21tf
